Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
guruLoginPage,Chrome 93.0.4577.63,,,2021-09-04 09:19:02,2021-09-04 09:19:16,14.148s,PASSED
,,,,,,,
Test Cases/guruLogin,Chrome 93.0.4577.63,,,2021-09-04 09:19:02,2021-09-04 09:19:16,13.537s,PASSED
"openBrowser("""")",Chrome 93.0.4577.63,Open browser,,2021-09-04 09:19:03,2021-09-04 09:19:08,4.655s,PASSED
"navigateToUrl(""http://demo.guru99.com/v4/"")",Chrome 93.0.4577.63,nagigate to guru99 page,,2021-09-04 09:19:08,2021-09-04 09:19:10,2.583s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Bank Home Page/input_UserID_uid""), ""mngr351353"")",Chrome 93.0.4577.63,input username,,2021-09-04 09:19:10,2021-09-04 09:19:11,0.933s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Bank Home Page/input_Password_password""), ""sEdajEz"")",Chrome 93.0.4577.63,input password,,2021-09-04 09:19:11,2021-09-04 09:19:12,0.837s,PASSED
"click(findTestObject(""Object Repository/Page_Guru99 Bank Home Page/input_Password_btnLogin""))",Chrome 93.0.4577.63,click on Login button,,2021-09-04 09:19:12,2021-09-04 09:19:15,2.478s,PASSED
takeScreenshot(),Chrome 93.0.4577.63,take a screenshot,,2021-09-04 09:19:15,2021-09-04 09:19:15,0.549s,PASSED
closeBrowser(),Chrome 93.0.4577.63,closer browser,,2021-09-04 09:19:15,2021-09-04 09:19:16,0.737s,PASSED
